"Genes","LundEAC","MSK2020_EAConly","TCGA_2017_only","esca_broad","is_oesophageal","is_predicted_driver","p_value","fdr_p_value","is_significant_fdr"
"TP53",0.765625,0.825,0.747,0.702,FALSE,TRUE,0.0276941933983865,0.0686888875736298,FALSE
"LRP1B",0.40625,NA,0.278,0.225,TRUE,TRUE,1.31133497301771e-22,4.94373284827678e-20,TRUE
"RYR1",0.203125,NA,0.101,0.093,FALSE,FALSE,4.45826283016332e-10,3.36153017394314e-08,TRUE
"SPTA1",0.203125,NA,0.215,0.212,FALSE,FALSE,1.40396782376265e-14,2.6464793477926e-12,TRUE
"ARID2",0.1875,0.021,0.013,0.053,FALSE,TRUE,1.24586411403679e-07,3.91408975826559e-06,TRUE
"ARID1A",0.171875,0.126,0.139,0.086,FALSE,TRUE,0.313367947185465,0.376241134041147,FALSE
"DMD",0.171875,NA,0.139,0.033,FALSE,FALSE,2.32689065795758e-11,2.19309444512501e-09,TRUE
"PIK3CA",0.171875,0.066,0.063,0.053,FALSE,TRUE,0.0158896888091242,0.0481883106055152,TRUE
"SPEN",0.15625,0.031,0.013,0.033,FALSE,TRUE,3.85108049471318e-05,0.000468341079518345,TRUE
"CDKN2A",0.140625,0.178,0.203,0.132,FALSE,TRUE,0.449824777280664,0.503216442239793,FALSE
"KMT2D",0.140625,0.077,0.127,0.02,FALSE,TRUE,0.00370391549539325,0.0159628056747286,TRUE
"PRKDC",0.140625,NA,0.089,0.026,FALSE,FALSE,1.47668783333788e-08,5.56711313168382e-07,TRUE
"ZFHX3",0.140625,0.047,0.051,0.053,FALSE,TRUE,0.0359168753514464,0.0820646182272442,FALSE
"ALK",0.125,0.049,0.063,0.046,FALSE,TRUE,0.108561041840764,0.170531303224867,FALSE
"FAT1",0.125,0.035,0.063,0.026,FALSE,TRUE,0.00853298583908986,0.0330354147716755,TRUE
"SMAD4",0.125,0.091,0.114,0.079,FALSE,TRUE,0.680532091756239,0.72067583874186,FALSE
"AR",0.109375,0.035,0.051,0.046,FALSE,TRUE,0.0966061847448791,0.158005924414835,FALSE
"FANCF",0.109375,NA,NA,NA,FALSE,FALSE,2.41440530923348e-12,3.03410267193674e-10,TRUE
"FBXW7",0.109375,0.014,0.101,0.013,FALSE,TRUE,1.07153291267739e-05,0.000199848710862989,TRUE
"KMT2C",0.109375,0.035,0.101,0.04,FALSE,TRUE,0.0190603400432992,0.0532277644172134,FALSE
"LRP2",0.109375,NA,0.165,0.086,FALSE,FALSE,1.01296766317692e-08,4.24320898908555e-07,TRUE
"NOTCH1",0.109375,0.066,0.038,0.026,FALSE,TRUE,0.072662795143877,0.128609736005829,FALSE
"SDHA",0.109375,0.003,0.025,0.02,FALSE,TRUE,4.91768156816117e-06,0.000109056820658633,TRUE
"TSC2",0.109375,0.014,0.063,0.013,FALSE,TRUE,0.000154315209200504,0.00141894716752659,TRUE
"APC",0.09375,0.07,0.139,0.04,FALSE,TRUE,0.0496876101872196,0.0950874570587908,FALSE
"CARD11",0.09375,0.014,0.013,0.033,FALSE,TRUE,0.00423816567085235,0.0177532050879037,TRUE
"DPYD",0.09375,NA,0.038,0.046,FALSE,FALSE,0.000113027324168326,0.00115165678949889,TRUE
"GLI2",0.09375,NA,0.025,NA,FALSE,FALSE,4.52530516561119e-08,1.55094549766856e-06,TRUE
"MAST4",0.09375,NA,0.013,0.007,FALSE,FALSE,1.76346872693221e-07,5.1140593081034e-06,TRUE
"MCC",0.09375,NA,0.051,0.007,FALSE,FALSE,1.343859739641e-06,3.37756747896439e-05,TRUE
"NTRK3",0.09375,0.017,0.038,0.04,FALSE,TRUE,0.0224018293308029,0.0592416833374887,FALSE
"TERT",0.09375,0.014,NA,NA,FALSE,TRUE,8.20630468041557e-06,0.000162830361290351,TRUE
"ASXL1",0.078125,0.021,0.038,0.026,FALSE,FALSE,0.113932509373952,0.178226373584979,FALSE
"BRCA1",0.078125,0.014,0.038,0.02,FALSE,TRUE,0.0268861583136069,0.0675738778948655,FALSE
"CACNA1H",0.078125,NA,0.089,0.026,FALSE,FALSE,1.27652164539723e-05,0.000209238547962937,TRUE
"CD79B",0.078125,0.003,NA,0.007,FALSE,FALSE,5.8663508244896e-06,0.000122867458935143,TRUE
"CREBBP",0.078125,0.031,0.051,0.02,FALSE,TRUE,0.164878829937822,0.236988718388249,FALSE
"DCLK3",0.078125,NA,0.038,0.007,FALSE,FALSE,2.37554312770494e-05,0.000308820606601642,TRUE
"DST",0.078125,NA,0.101,0.04,FALSE,FALSE,1.11321563080179e-05,0.000199848710862989,TRUE
"EPHA5",0.078125,0.059,0.076,0.073,FALSE,FALSE,0.89455012898959,0.916427713665965,FALSE
"HNF1A",0.078125,0.01,0.013,NA,FALSE,TRUE,0.00020100521571227,0.00168397702941169,TRUE
"IKZF1",0.078125,0.003,0.025,0.007,FALSE,TRUE,0.000116636050971266,0.00115715240042546,TRUE
"JRK",0.078125,NA,NA,NA,FALSE,FALSE,7.70874916033885e-09,3.63274804180968e-07,TRUE
"KAT6A",0.078125,NA,0.076,0.053,FALSE,TRUE,0.000136892255665353,0.00129020950964595,TRUE
"KCNA5",0.078125,NA,0.038,0.013,FALSE,FALSE,9.29182085897157e-05,0.00106152014055524,TRUE
"MGAM",0.078125,NA,0.038,0.007,FALSE,FALSE,2.37554312770494e-05,0.000308820606601642,TRUE
"PARP10",0.078125,NA,NA,NA,FALSE,FALSE,7.70874916033885e-09,3.63274804180968e-07,TRUE
"PRDM2",0.078125,NA,0.013,0.02,FALSE,TRUE,0.000102672724534598,0.00110601783866614,TRUE
"PTEN",0.078125,0.024,0.025,0.026,FALSE,TRUE,0.139890998097122,0.210955625130461,FALSE
"RNF43",0.078125,0.021,0.013,0.02,FALSE,TRUE,0.0480271598313667,0.0923787717164554,FALSE
"SOX9",0.078125,0.024,0.013,0.013,FALSE,TRUE,0.035618365636849,0.0818788039334881,FALSE
"USP8",0.078125,NA,0.038,0.007,FALSE,TRUE,2.37554312770494e-05,0.000308820606601642,TRUE
"ADAMTS7",0.0625,NA,0.025,0.013,FALSE,FALSE,0.00112330442692873,0.00564647691936174,TRUE
"ATRX",0.0625,0.021,0.025,0.013,FALSE,TRUE,0.176634578980128,0.24940537930902,FALSE
"BCL9",0.0625,NA,0.025,0.02,FALSE,FALSE,0.00237781025764056,0.0108004152666324,TRUE
"BCOR",0.0625,0.014,0.025,NA,FALSE,TRUE,0.0124710356009488,0.0431337653353918,TRUE
"BCORL1",0.0625,NA,0.013,0.013,FALSE,TRUE,0.00064704405421783,0.00381149388187691,TRUE
"BRAF",0.0625,0.01,0.025,NA,FALSE,TRUE,0.004875431557302,0.0199786706206832,TRUE
"BRCA2",0.0625,0.038,0.063,0.013,FALSE,TRUE,0.169500774730356,0.242052242702062,FALSE
"CCAR2",0.0625,NA,0.038,NA,FALSE,FALSE,3.2714230361923e-05,0.000411108828214832,TRUE
"CCND2",0.0625,0.003,NA,0.013,FALSE,FALSE,0.000698126415021486,0.00404913320712462,TRUE
"CENPE",0.0625,NA,0.013,0.013,FALSE,FALSE,0.00064704405421783,0.00381149388187691,TRUE
"CHEK2",0.0625,0.01,0.038,NA,FALSE,TRUE,0.00373905292999117,0.0159628056747286,TRUE
"CRMP1",0.0625,NA,0.063,0.02,FALSE,FALSE,0.00033837273860538,0.00260339841743323,TRUE
"DNMT3A",0.0625,0.014,0.038,0.013,FALSE,TRUE,0.068150458429472,0.124721955475296,FALSE
"EP300",0.0625,0.024,0.063,0.02,FALSE,TRUE,0.134314975793323,0.20336042519712,FALSE
"ERBB2",0.0625,0.024,0.139,0.033,FALSE,TRUE,0.000205570236461043,0.00168478215534377,TRUE
"ERBB3",0.0625,0.042,0.025,0.033,FALSE,TRUE,0.672751001455584,0.714442612813395,FALSE
"ERBB4",0.0625,0.063,0.177,0.099,FALSE,TRUE,0.012932229719691,0.0442295012778627,TRUE
"FOXL2",0.0625,0.014,NA,0.013,FALSE,FALSE,0.0234259778534952,0.0604903674710116,FALSE
"GNAQ",0.0625,NA,NA,0.013,FALSE,TRUE,0.000102680701202426,0.00110601783866614,TRUE
"GNAS",0.0625,0.01,0.063,0.02,FALSE,FALSE,0.0122962823945624,0.0429231339143522,TRUE
"GRIN1",0.0625,NA,NA,0.007,FALSE,FALSE,1.80123221345183e-05,0.000280440902985692,TRUE
"GRIN2A",0.0625,0.024,0.038,0.046,FALSE,FALSE,0.401759695606569,0.457593369316243,FALSE
"IGSF1",0.0625,NA,0.051,0.053,FALSE,FALSE,0.00101241025875148,0.00530443653005002,TRUE
"JAK1",0.0625,0.021,0.013,0.013,FALSE,TRUE,0.129850712699886,0.197394026967165,FALSE
"KDM5C",0.0625,0.007,NA,NA,FALSE,FALSE,0.000194474879109602,0.00166629612328,TRUE
