Gene	mut	gain	loss
TP53	0.765625	0	-3.125
LRP1B	0.40625	0	0
RYR1	0.203125	7.8125	0
SPTA1	0.203125	1.5625	0
ARID2	0.1875	0	0
ARID1A	0.171875	0	0
DMD	0.171875	0	0
PIK3CA	0.171875	1.5625	0
SPEN	0.15625	0	0
CDKN2A	0.140625	0	-10.9375
KMT2D	0.140625	0	-1.5625
PRKDC	0.140625	1.5625	0
ZFHX3	0.140625	0	0
ALK	0.125	1.5625	0
FAT1	0.125	0	-3.125
SMAD4	0.125	0	-3.125
AR	0.109375	0	0
FANCF	0.109375	1.5625	0
FBXW7	0.109375	0	0
KMT2C	0.109375	1.5625	0
LRP2	0.109375	1.5625	0
NOTCH1	0.109375	0	0
SDHA	0.109375	3.125	0
TSC2	0.109375	0	-1.5625
APC	0.09375	0	0
CARD11	0.09375	6.25	0
DPYD	0.09375	0	0
GLI2	0.09375	0	0
MAST4	0.09375	0	0
MCC	0.09375	0	0
NTRK3	0.09375	1.5625	0
TERT	0.09375	3.125	0
ASXL1	0.078125	7.8125	0
BRCA1	0.078125	1.5625	0
CACNA1H	0.078125	0	0
CD79B	0.078125	1.5625	-1.5625
CREBBP	0.078125	0	-1.5625
DCLK3	0.078125	0	0
DST	0.078125	7.8125	0
EPHA5	0.078125	0	0
HNF1A	0.078125	1.5625	0
IKZF1	0.078125	6.25	0
JRK	0.078125	0	0
KAT6A	0.078125	3.125	0
KCNA5	0.078125	3.125	0
MGAM	0.078125	1.5625	0
PARP10	0.078125	9.375	0
PRDM2	0.078125	1.5625	0
PTEN	0.078125	0	0
RNF43	0.078125	0	0
SOX9	0.078125	0	0
USP8	0.078125	0	0
ADAMTS7	0.0625	1.5625	0
ATRX	0.0625	0	0
BCL9	0.0625	3.125	0
BCOR	0.0625	0	0
BCORL1	0.0625	0	0
BRAF	0.0625	1.5625	0
BRCA2	0.0625	7.8125	0
CCAR2	0.0625	0	0
CCND2	0.0625	3.125	0
CENPE	0.0625	0	0
CHEK2	0.0625	0	0
CRMP1	0.0625	1.5625	0
DNMT3A	0.0625	1.5625	0
EP300	0.0625	0	0
ERBB2	0.0625	14.0625	0
ERBB3	0.0625	3.125	0
ERBB4	0.0625	3.125	0
FOXL2	0.0625	0	0
GNAQ	0.0625	1.5625	0
GNAS	0.0625	7.8125	0
GRIN1	0.0625	3.125	0
GRIN2A	0.0625	0	0
IGSF1	0.0625	0	0
JAK1	0.0625	0	-1.5625
KDM5C	0.0625	0	0
KDM6A	0.0625	0	0
KMT2A	0.0625	3.125	0
MGMT	0.0625	1.5625	0
MMP17	0.0625	0	0
MMP9	0.0625	7.8125	0
MTOR	0.0625	1.5625	0
NOTCH2	0.0625	1.5625	0
NOTCH3	0.0625	0	0
PAK3	0.0625	0	0
PDGFD	0.0625	0	0
PIK3CG	0.0625	1.5625	0
RPTOR	0.0625	0	0
SMARCA4	0.0625	0	-1.5625
SMARCB1	0.0625	0	0
SOX2	0.0625	1.5625	0
AKT2	0.046875	4.6875	0
AMER1	0.046875	0	0
ATAD2B	0.046875	1.5625	0
ATM	0.046875	0	0
ATR	0.046875	0	0
CACNA1S	0.046875	0	0
CDH1	0.046875	0	-1.5625
CDK8	0.046875	4.6875	0
CIC	0.046875	4.6875	0
CRLF2	0.046875	0	0
DSPP	0.046875	0	0
EPHB1	0.046875	0	0
FANCD2	0.046875	3.125	0
FANCM	0.046875	0	0
FGF14	0.046875	1.5625	0
FGF19	0.046875	7.8125	0
FGFR1	0.046875	0	0
FLNA	0.046875	0	0
FLT1	0.046875	6.25	0
GRIN2B	0.046875	3.125	0
HNRNPU	0.046875	1.5625	0
IGF1R	0.046875	4.6875	0
IGFBP5	0.046875	3.125	0
IRS2	0.046875	3.125	0
JAK2	0.046875	0	0
JPH2	0.046875	10.9375	0
KDM5A	0.046875	3.125	0
KDR	0.046875	3.125	0
LHX2	0.046875	0	0
LHX4	0.046875	1.5625	0
MAP3K1	0.046875	0	0
MDM2	0.046875	6.25	0
MED12	0.046875	0	0
MYO5A	0.046875	0	0
NKX2-1	0.046875	0	0
PCDH11X	0.046875	0	0
PRDM8	0.046875	0	0
RAD50	0.046875	0	0
SHH	0.046875	1.5625	0
SIRT1	0.046875	0	0
SLIT2	0.046875	0	0
SOS1	0.046875	1.5625	0
SOX1	0.046875	0	0
TSHR	0.046875	0	0
UBR4	0.046875	0	0
UCP3	0.046875	4.6875	0
ABL1	0.03125	0	0
ACTN4	0.03125	7.8125	0
ADAMTS6	0.03125	0	0
ADGRA2	0.03125	0	0
AOX1	0.03125	3.125	0
BAGE2	0.03125	0	0
BAP1	0.03125	0	0
BBC3	0.03125	4.6875	0
BLM	0.03125	6.25	0
BMP4	0.03125	0	0
BMPR2	0.03125	1.5625	0
BTK	0.03125	0	0
C2CD3	0.03125	4.6875	0
CD79A	0.03125	4.6875	0
CDK12	0.03125	6.25	0
CDKN1B	0.03125	1.5625	0
CHD7	0.03125	3.125	0
CSF1R	0.03125	0	0
CTNNB1	0.03125	0	0
CYP21A2	0.03125	4.6875	0
DICER1	0.03125	0	0
DOT1L	0.03125	0	0
DPCR1	0.03125	1.5625	0
EGF	0.03125	0	0
EGFR	0.03125	17.1875	0
EPHA3	0.03125	0	-1.5625
EPHB2	0.03125	0	0
ESR1	0.03125	0	0
FANCL	0.03125	1.5625	0
FBXO4	0.03125	10.9375	0
FGF10	0.03125	9.375	0
FGF23	0.03125	3.125	0
FGFR4	0.03125	3.125	0
FLT4	0.03125	1.5625	0
FOXA1	0.03125	0	0
FOXD2	0.03125	0	0
GATA2	0.03125	0	0
GNA13	0.03125	1.5625	-1.5625
IDH1	0.03125	3.125	0
IL7R	0.03125	6.25	0
INHBA	0.03125	6.25	0
KCNA1	0.03125	0	0
KEAP1	0.03125	0	-1.5625
KIT	0.03125	3.125	0
KRAS	0.03125	15.625	0
LATS2	0.03125	4.6875	0
LTBP4	0.03125	4.6875	0
MAP2K2	0.03125	0	0
MAP2K4	0.03125	0	0
MAX	0.03125	0	0
MCL1	0.03125	4.6875	0
MET	0.03125	1.5625	0
MITF	0.03125	0	0
MMP2	0.03125	0	0
MSH2	0.03125	0	0
MSH6	0.03125	0	0
MX2	0.03125	0	-1.5625
MYC	0.03125	17.1875	0
MYCL	0.03125	1.5625	0
MYCN	0.03125	1.5625	0
NACAD	0.03125	6.25	0
NBN	0.03125	4.6875	0
NDRG4	0.03125	0	0
NF1	0.03125	0	0
NR2C2	0.03125	1.5625	0
NUP93	0.03125	0	0
OR51B4	0.03125	0	0
OSBP	0.03125	1.5625	0
PALB2	0.03125	1.5625	0
PAX6	0.03125	1.5625	0
PAX7	0.03125	0	0
PCDH11Y	0.03125	0	0
PDGFRA	0.03125	3.125	0
PIK3CB	0.03125	0	0
PIK3R1	0.03125	0	0
PIK3R2	0.03125	0	-1.5625
PMS2	0.03125	4.6875	0
PPP2R1A	0.03125	4.6875	0
PRKAA2	0.03125	0	0
PRKAR1A	0.03125	0	0
PROP1	0.03125	1.5625	0
PYCR1	0.03125	0	0
RAD51C	0.03125	0	0
RB1	0.03125	3.125	0
RET	0.03125	0	0
RUBCN	0.03125	0	0
RUNX1	0.03125	0	-1.5625
SDHC	0.03125	1.5625	0
SIX3	0.03125	0	0
SIX6	0.03125	0	0
SON	0.03125	0	0
SOX3	0.03125	0	0
STAT3	0.03125	1.5625	0
STK11	0.03125	0	0
SUPV3L1	0.03125	0	0
TGFBR2	0.03125	1.5625	0
TRIOBP	0.03125	0	0
WT1	0.03125	1.5625	0
ZFHX4	0.03125	0	0
ZNF217	0.03125	9.375	0
ZNF276	0.03125	0	0
ZNF717	0.03125	10.9375	-12.5
	0.015625	0	0
ACTN3	0.015625	0	0
AHR	0.015625	4.6875	0
AKT1	0.015625	0	0
ANOS1	0.015625	0	0
ARAF	0.015625	0	0
ARMC5	0.015625	3.125	0
AURKA	0.015625	7.8125	0
AXL	0.015625	4.6875	0
BAX	0.015625	4.6875	0
BCL2	0.015625	0	0
BCL6	0.015625	0	0
BMP8A	0.015625	0	0
BMP8B	0.015625	1.5625	0
CACNA1I	0.015625	0	0
CCNE1	0.015625	9.375	0
CCR10	0.015625	0	0
CDK2AP1	0.015625	0	0
CDK4	0.015625	4.6875	0
CDK6	0.015625	14.0625	0
CHEK1	0.015625	0	0
CHEK2P2	0.015625	0	0
CSK	0.015625	0	0
CTNNA2	0.015625	0	0
DBF4	0.015625	6.25	0
DPYSL2	0.015625	0	0
EPAS1	0.015625	0	0
EPHA2	0.015625	0	0
EPHB4	0.015625	0	0
FANCA	0.015625	0	0
FGF6	0.015625	3.125	0
FGF8	0.015625	0	0
FGFR2	0.015625	4.6875	0
FGFR3	0.015625	4.6875	0
FH	0.015625	1.5625	0
FOXD4	0.015625	0	0
FOXD4L1	0.015625	0	0
FOXE1	0.015625	0	0
FOXG1	0.015625	0	0
FOXS1	0.015625	0	0
GATA3	0.015625	0	0
GHR	0.015625	0	0
GID4	0.015625	0	0
GLI1	0.015625	0	0
GNA11	0.015625	0	0
GNRHR	0.015625	0	0
GREM2	0.015625	0	0
GSK3B	0.015625	0	0
HESX1	0.015625	0	0
HGF	0.015625	3.125	0
HIF1A	0.015625	0	0
HNF1B	0.015625	0	0
HOXB13	0.015625	0	0
HRAS	0.015625	0	0
HSP90AA1	0.015625	0	0
JAK3	0.015625	0	-1.5625
KCNA4	0.015625	0	0
KCNA6	0.015625	0	0
KDM5D	0.015625	0	0
KIF1B	0.015625	0	0
LGALS3	0.015625	0	0
MAN1A1	0.015625	0	0
MAP2K1	0.015625	0	0
MAPK1	0.015625	0	-1.5625
MDM4	0.015625	1.5625	0
MEF2B	0.015625	0	0
MEN1	0.015625	1.5625	0
MRAS	0.015625	0	0
MRE11	0.015625	0	0
MUTYH	0.015625	0	0
NCAM1	0.015625	0	0
NFE2L1	0.015625	3.125	0
NFE2L2	0.015625	1.5625	-1.5625
NFKBIA	0.015625	0	0
NKX2-2	0.015625	0	0
NKX3-1	0.015625	0	0
NR3C1	0.015625	0	0
NTRK1	0.015625	1.5625	0
OCLN	0.015625	0	0
OGDHL	0.015625	0	0
OTX2	0.015625	0	0
PALLD	0.015625	0	0
PAX2	0.015625	0	0
PAX5	0.015625	0	0
PBRM1	0.015625	0	0
PIM1	0.015625	0	0
POU1F1	0.015625	0	-1.5625
PPIE	0.015625	0	0
PRB3	0.015625	3.125	0
PRB4	0.015625	0	0
PRKG1	0.015625	0	0
PROCA1	0.015625	0	0
PTCH1	0.015625	0	0
PTGS2	0.015625	0	0
RAB18	0.015625	1.5625	0
RAB1A	0.015625	1.5625	0
RARA	0.015625	7.8125	0
RARS	0.015625	1.5625	0
REEP5	0.015625	0	0
RICTOR	0.015625	9.375	0
ROR1	0.015625	0	0
RPA1	0.015625	1.5625	0
RUNX3	0.015625	0	0
RXRG	0.015625	1.5625	0
SDHB	0.015625	0	0
SETD2	0.015625	0	0
SF3B1	0.015625	1.5625	0
SH2B3	0.015625	0	0
SKI	0.015625	0	0
SMAD2	0.015625	0	0
SMARCA2	0.015625	0	0
SNIP1	0.015625	0	0
SORT1	0.015625	0	0
SPANXN1	0.015625	0	0
SPOP	0.015625	3.125	0
SRC	0.015625	9.375	0
SRP9	0.015625	1.5625	0
TBXAS1	0.015625	1.5625	0
TCF7L1	0.015625	0	0
TFG	0.015625	0	0
TH	0.015625	1.5625	0
TMEM43	0.015625	1.5625	0
TNFAIP3	0.015625	1.5625	0
TNFRSF14	0.015625	0	0
TNRC6A	0.015625	0	0
TOP2A	0.015625	6.25	0
TPM4	0.015625	0	0
TPMT	0.015625	1.5625	-1.5625
TRAF7	0.015625	0	0
TSHB	0.015625	0	-1.5625
U2AF1	0.015625	0	0
UGT2B7	0.015625	0	0
WIF1	0.015625	3.125	0
WNT7B	0.015625	0	0
WNT9A	0.015625	1.5625	0
ZNF384	0.015625	0	0
ZNF703	0.015625	0	0
CDK11A	0	0	-3.125
GS_077	0	0	0
WNT4	0	0	0
GS_034	0	0	0
MPL	0	0	0
CDKN2C	0	0	0
GI_086	0	0	0
JUN	0	0	0
GI_048	0	0	0
LD_004_R	0	0	0
GS_076	0	0	0
CS_022	0	0	-1.5625
NRAS	0	0	-1.5625
FAM46C	0	0	0
S100A9	0	3.125	0
TPM3	0	3.125	0
GI_030	0	1.5625	0
DDR2	0	1.5625	0
LoGC_03	0	0	0
CDC73	0	0	0
SQ_005_R	0	0	0
GI_097	0	0	0
IKBKE	0	0	0
H3F3A	0	1.5625	0
GS_015	0	1.5625	0
EGLN1	0	1.5625	0
SD_002_R	0	1.5625	0
GS_062	0	1.5625	0
